country,author,date_of_publication,title_3,study_design,study_timeframe,sources_of_data,study_setting_location,hospital_service_coverage_area,bed_capacity_number,operating_rooms_number,burn_unit_availability_yes_no,anesthesia_availability_yes_no,ventilator_availability_yes_no,blood_bank_availability_yes_no,laboratory_services_available_yes_no,imaging_services_available_yes_no,sterilization_facilities_yes_no,surveillance_system_yes_no,surveillance_system_details,health_information_system_yes_no,health_information_system_details,surgeons_number,surgeons_description,anesthetists_number,anesthetists_description,nurses_number,nurses_description,other_healthcare_providers_number,other_healthcare_providers_description,affiliation_of_surgeons_other_healthcare_providers_number,affiliation_of_surgeons_other_healthcare_providers_description,sample_size,prevalence_rate,incidence_rate,disability_adjusted_life_years_dal_ys,cost_to_individuals_cost_in_usd_or_other_currency,cost_to_government_cost_in_usd_or_other_currency
Malawi,"Grudziak J., Gallaher J., Banza L., et al.",17-Oct,The Effect of a Surgery Residency Program and Enhanced Educational Activities on Trauma Mortality in Sub-Saharan Africa,Other: Retrospective analysis of trauma registry data,2009 - 2014,medical records (KCH Trauma Surveillance Registry),"Kamuzu Central Hospital (KCH), Lilongwe, Malawi",Central Malawi (population ~6 million),900 beds,Not specified,NA,NA,Yes,NA,NA,NA,NA,Yes,“KCH Trauma Surveillance Registry established in 2008.”,NA,NA,5 (2009) to 13 (2014) residents,“Surgical residency program initiated in 2009; number of residents increased annually.”,NA,NA,NA,NA,NA,NA,NA,NA,"82,534 patients",NA,NA,NA,NA,NA
Sierra Leone,"Grimes C.E., Quaife M., Kamara T.B., et al.",18-Jan,Macroeconomic costs of the unmet burden of surgical disease in Sierra Leone: a retrospective economic analysis,Other: Economic modeling study using secondary analysis of cross-sectional and retrospective data,2012,"secondary data (a cluster randomised, cross-sectional, countrywide survey; a retrospective, nationwide study on surgery in Sierra Leone)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54% of surgical data available (46% of the surgical data were incomplete and thus discarded) 

***literature results is based on the assumption that the 54% accounted for the 7.9% of met need and calculated unmet need",NA,NA,"TOTAL NUMBER OF DALYs AVERTED BY OPERATION 
Primarily death averting
Amputation = 234;
Malignancy = 173;
Necrosectomy = 1;
Primarily disability averting
Cleft lip repair = 2;
Cystectomy = 16;
Fracture = 964;
Total overall = 13,065

SUMMARY OF MET SURGICAL NEED IN 2012
1-4 years old 
deaths averted in 2012 = 58;
mortality DALYs averted due to surgery in 2012 (YLL) = 1073; 
morbidity DALYs averted due to surgery in 2012 (YLD) = 293

5-15 years old
deaths averted in 2012 = 214;
mortality DALYs averted due to surgery in 2012 (YLL) = 3877; 
morbidity DALYs averted due to surgery in 2012 (YLD) = 741

16-19 years old
deaths averted in 2012 = 278;
mortality DALYs averted due to surgery in 2012 (YLL) = 4936; 
morbidity DALYs averted due to surgery in 2012 (YLD) = 566

20-33 years old 
deaths averted in 2012 = 778;
mortality DALYs averted due to surgery in 2012 (YLL) = 13086; 
morbidity DALYs averted due to surgery in 2012 (YLD) = 2225

34+ years old
deaths averted in 2012 = 332;
mortality DALYs averted due to surgery in 2012 (YLL) = 5173; 
morbidity DALYs averted due to surgery in 2012 (YLD) = 3626

UNMET NEED
*Assuming that the 24152 operations recorded in 2012  represent 7.9% of met surgical need in Sierra Leone.
unmet surgical need in 2012 = 766,606 DALYs forgone: 
DALYs lost due to mortality = 159,625 DALYs
DALYs lost due to morbidity = 606,981 DALYs 
",NA,NA
Sub-Saharan Africa,"Grimes C.E., Law R.S.L, Borgstein E.S., et al.",11-Nov,Systematic review of met and unmet need of surgical disease in rural sub-Saharan Africa,Systematic review,NA,Secondary data obtained from online databases (PubMed and Embase),District hospitals (including rural mission hospitals as providers of surgical care to rural populations),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39 studies included in the final analysis,"Overall prevalence of morbidity as a results of injury in rural Sub-Saharan Africa is up to 190 per 100,000 population.","Overall incidence of nonfatal injury in rural Sub-Saharan Africa is at least 1,690 per 100,000 population per year.

Mortality from injuries, in the absence of war: 53 to 92 per 100,000 population per year.

Mortality from injuries from war: 
- 6.85 per 1,000 per year in northern Uganda
- 0.4 to 0.7 per 100,000 per month at two different time points in Democratic Republic of Congo

Burns admission in Zambia: 29.3 per 100,000 children per year.

Fracture reductions: 6 (95% CI: 0.1–12) per 100,000 population per year",NA,NA,NA
Uganda,"Grabski D.F., Kakembo N., Situma M., et al.",20-Jan,Burden of emergency pediatric surgical procedures on surgical capacity in Uganda: a new metric for health system performance,Other: Prospective clinical database,10/2015 - 06/2017,Clinical databases (children treated by pediatric surgery teams),Referral hospitals (Mulago National Referral Hospital and Mbarara Regional Referral Hospital),NA,NA,2,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,"""The database was initiated in Mulago Hospital by the pediatric surgery team in 2012 and refined in 2015.  In discussion with the pediatric surgery team at Mbarara, the database was then adapted
to this site. The databases are nearly identical at each site, though data collection and storage remain independent. """,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1930 patients,NA,NA,NA,NA,NA
Uganda,"Grabski D.F., Ajiko M., Kayima P., et al.",21-Jun,Access to pediatric surgery delivered by general surgeons and anesthesia providers in Uganda: Results from 2 rural regional hospitals,Cohort study,01/2016 - 06/2019,"""Two years of a prospective clinical database of children’s surgery admissions at 2 regional referral hospitals in Uganda were reviewed.""",Regional Referral Hospital (Soroti and St Mary's Lacor Regional Referral Hospital),"Children presented from a total of 60 health districts, 25 at Soroti and 35 at Lacor.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Clinical databases of children treated at Soroti and St Mary’s Lacor Regional Referral Hospitals are available.,NA,NA,NA,NA,NA,NA,NA,NA,Local and International Collaboration,"Surgeons at Soroti and Lacor are local general surgeons, supported by national and international partnerships. Long-term collaborations include the Italian charity Surgery for Children, University of British Columbia, Global Partners in Anesthesia and Surgery, and Mulago National Referral Hospital.","1,964",NA,NA,"DALYs averted per year at Soroti Regional Referral Hospital for burns <20%(0)

DALYs averted per year at Soroti Regional Referral Hospital for burns >20% (26.845)

DALYs averted per year at St. Mary's Lacor Regional Referral Hospital for burns <20% (33.2444)

DALYs averted per year at St. Mary's Lacor Regional Referral Hospital for burns >20% (26.8632)",NA,NA
Sierra Leone,"Gosselin R.A., Thind A., Bellardinelli A.",6-Mar,Cost/DALY averted in a small hospital in Sierra Leone: what is the relative contribution of different services?,Other: Cost/DALY estimation and evaluation,07/2004 - 11/2004,Abstracting all hospital ward and departmental records.,NGO Hospital (Emergency Hospital NGO),"The surgical outpatient department (OPD), which includes an area for dressing changes, sees an average of 60 patients and admits an average of 8 patients a day (including elective admissions for the following day). The pediatric OPD sees an average of 30 patients a day, of which an average of three are admitted.",90,2,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,NA,NA,2,"1 general surgeon, 1 orthopedic surgeon",NA,NA,3; 3,"Nurses (expatriate)

3 nurse-anesthetists (national staff)",4; 4; 80,"1 program coordinator, 1 medical coordinator, 1 administrator, 1 physiotherapist

4 physicians (2 pediatricians and 2 surgeons-in-training) (national staff)

80 care-related personnel (nurses, therapists, etc.)",9; 177,9 expatriate staff; 177 full-time national staff,NA,NA,NA,"11,282 DALYs adverted during 3-month study period. The majority of the DALYs averted (62%) were contributed by the pediatric inpatient (33%) and the pediatric OPD (29%), with the surgical service accounting for slightly more than a third (38%) of the total.

216 DALYs adverted for wounds. 343 DALYs adverted for burns. 172 DALYs adverted for contracture release.","$123,258 total monthly operating cost; $32.78 total cost per DALY averted.",NA
Burundi,"Gortan M., Caravaggi P., Brooks G., et al.",21-May,Epidemiology of Pediatric Surgical Conditions Observed in a First-Level Hospital in Burundi,Other: retrospective review,01/2017 - 12/2017,medical records (surgery ward; surgical patients in neonatology ward),Mutoyi Hospital (first level hospital located in the province of Gitega),NA,317 total beds; 79 surgery ward beds; 30 neonatal unit,unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,"1 in Mutoyi Hospital; 
0.18 surgeons per 100,000","""In Mutoyi in 2017 there was just one surgeon specialized in Gynecology and Obstetrics with experience in General Surgery."";
""There is an important paucity of healthcare workers, with 1 medical doctor every 21,035 inhabitants, and an even lower surgeons-per-population ratio with 0.18 surgeons per 100,000, a ratio which sharply differs from the target set by the Lancet Commission Global Surgery 2030 of 40 surgeons for 100,000 inhabitants.""","0 in Mutyoti Hospital; 0.06 anesthesiologists per 100,000 inhabitants","""In Mutoyi Hospital no anesthesiologists were present and anesthesia was carried out by few nurses who were taught anesthesia basics in seminars hold by specialists from high-income countries, as often happens in third-world countries."";
""A WFSA (World Federation of Societies of Anesthesiologists) survey conducted in 2015/2016 found that there were only 6 physicians with anesthetic qualification in the country, meaning 0.06 anesthesiologists per 100,000 inhabitants (WFSA, s.d.). Anesthesia is managed by nurses with different levels of specialization in the field, as in most African countries.""",NA,NA,"1 medical doctor every 21,035 inhabitants","""There is an important paucity of healthcare workers, with 1 medical doctor every 21,035 inhabitants, and an even lower surgeons-per-population ratio with 0.18 surgeons per 100,000, a ratio which sharply differs from the target set by the Lancet Commission Global Surgery 2030 of 40 surgeons for 100,000 inhabitants.""",NA,NA,528 children admitted to the surgical ward,NA,NA,NA,NA,NA
Ethiopia,Gebretsadik H.G.,24-Mar,Surgical complications and subsequent revision surgeries among noma cases treated in Ethiopia,Other: retrospective cross-sectional study; systematic review of electronic medical charts,2007 - 2019,"""The primary data source for this study was the Facing Africa database, which contains a substantial collection of medical records from noma patients who have undergone surgical interventions in Ethiopia.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Facing Africa database, which ""contains a substantial collection of medical records from noma patients who have undergone surgical interventions in Ethiopia.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,NA,NA,NA,NA,NA
Uganda; Tanzania; Mozambique,"Galukande M., von Schreeb J., Wladis A., et al.",10-Mar,Essential surgery at the district hospital: A retrospective descriptive analysis in three african countries,Other: retrospective descriptive study,"2007 (12 months or February, June, and October)","data collection from country-level censuses, administrator interviews, hospital records, and administrative records using standard survey instrument","eight district hospitals in Uganda, Tanzania, and Mozambique 

Tanzania = Bagamoyo and Kasulu District Hospitals;
Uganda = Mityana, Kiryandongo, Iganga, and Buluba District Hospitals;
Mozambique = Chokwe and Catandica District Hospitals","TANZANIA
Bagamoyo = 230,164; 
Kasulu = 628,677

MOZAMBIQUE
Chokwe = 226,049;
Catandica = 99,546

UGANDA
Mityana = 269,763;
Kiryandongo = 125,000;
Buluba = 388,052;
Iganga = 547,155","TANZANIA
Bagamoyo = 125;
Kasulu = 135

MOZAMBIQUE 
Chokwe = 214;
Catandica = 91

UGANDA
Mityana = 100; 
Kiryandongo = 100;
Buluba = 120;
Iganga = 157

BED/1,000
TANZANIA
Bagamoyo = 0.5;
Kasulu = 0.2

MOZAMBIQUE 
Chokwe = 1.0;
Catandica = 0.9

UGANDA
Mityana = 0.4; 
Kiryandongo = 0.8;
Buluba = 0.3;
Iganga = 0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOCTORS
TANZANIA
Bagamoyo = 5;
Kasulu = 1

MOZAMBIQUE 
Chokwe = 4;
Catandica = 1

UGANDA
Mityana = 6; 
Kiryandongo = 2;
Buluba = 4;
Iganga = 5",NA,NA,NA,"TANZANIA
Bagamoyo = 51;
Kasulu = 116

MOZAMBIQUE 
Chokwe = 31;
Catandica = 18

UGANDA
Mityana = 73; 
Kiryandongo = 75;
Buluba = 24;
Iganga = 71",NA,"MID-LEVEL HEALTH PROVIDER / ASSISTANT MEDICAL OFFICERS
TANZANIA
Bagamoyo = 8;
Kasulu = 13

MOZAMBIQUE 
Chokwe = 1;
Catandica = 3

UGANDA
Mityana = 9; 
Kiryandongo = 3;
Buluba = 0;
Iganga = 0

CLINICAL OFFICERS
TANZANIA
Bagamoyo = 11;
Kasulu = 11

MOZAMBIQUE 
Chokwe = 3;
Catandica = 4

UGANDA
Mityana = 0; 
Kiryandongo = 0;
Buluba = 3;
Iganga = 8","""Facilities were staffed with one to six doctors and three to 26 mid-level health providers.""",NA,NA,8 district hospitals,NA,NA,NA,NA,NA
Malawi,"Gallaher J.R., Mjuweni S., Shah M., et al.",15-Feb,Timing of early excision and grafting following burn in sub-Saharan Africa,Other: retrospective analysis of prospectively collected burn registry data,06/2011 - 08/2014,medical records (burn registry data),"Kamuzu Central Hospital (tertiary care hospital in the capital city, which serves as a referral center)",“Kamuzu Central Hospital (KCH)… serves as a referral center for approximately 5 million people in the central region of Malawi.”,"main hospital = 600 beds;
burn unit = 31 beds",1,Yes,NA,NA,NA,limited,NA,NA,NA,NA,yes,"medical records (burn registry data);
""The burn registry was established to collect patient demographic, clinical characteristics, and outcome data.""",unspecified number of surgical consultants,"""The KCH Burn unit is a 31-bed unit with 5 full-time nurses, and 2 trained clinical officer staff with surgical consultant oversight.""",NA,NA,nurses = 5,"""The KCH Burn unit is a 31-bed unit with 5 full-time nurses, and 2 trained clinical officer staff with surgical consultant oversight.""",clinical officer staff = 2,"""The KCH Burn unit is a 31-bed unit with 5 full-time nurses, and 2 trained clinical officer staff with surgical consultant oversight.""",NA,NA,905 patients,NA,NA,NA,NA,NA
Malawi,"Gallaher J.R., Mjuweni S., Cairns B.A., et al.",15-May,Burn care delivery in a sub-Saharan African unit: A cost analysis study,Economic evaluation,06/2011 - 08/2014,registry data,tertiary care public hospital,"""referral center for approximately 5 million
people in the central region of Malawi.""",600; 31,NA,yes,Limited,No,Yes,Yes,Scarce,NA,yes,"""The burn registry at Kamuzu Central Hospital collects patient data systematically for monitoring treatment outcomes and resource allocation.""",yes,"""Patient records, including injury mechanisms, treatment received, and clinical outcomes, are recorded within the burn registry to support hospital-level decision-making.""",1,"""A consultant general surgeon supervises the unit""",NA,NA,5,"""... five full-time nurses perform most clinical duties with a small support staff.""",2,"""The burn unit operates with two clinical officers...""",NA,NA,905 patients,NA,NA,NA,"Mean daily cost per patient (based on mean daily census for each month of the study period) = $24.26 (SD ± $6.44)
Daily cost per patient per 1% TBSA = $2.65 (SD ± $3.01)
All patients: total mean hospitalization cost per patient = $559.85 (SD ± $736.17)
","Operative cohort: total mean hospitalization cost per patient = $1108.67 (SD ± $986.23)
Non-operative cohort: total mean hospitalization cost per patient = $308.84 (SD ± $381.00)
Total calculated unit monthly cost = $11,622.66
Total calculated unit daily cost = $387.42"
Malawi,"Gallaher J.R., Banda W., Robinson B., et al.",20-Jul,Access to Operative Intervention Reduces Mortality in Adult Burn Patients in a Resource-Limited Setting in Sub-Saharan Africa,Other: Retrospective analysis,06/2011 - 12/2019,Burn registry,"Kamuzu Central Hospital (KCH), Lilongwe, Malawi.","""Kamuzu Central Hospital (KCH), a public, 900-bed tertiary care hospital in the capital city of Lilongwe, which serves as a referral center for approximately 6 million people in the central region of Malawi.""",900,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,"""The burn registry was established in June 2011 to record patient information, including demographics, burn injury characteristics, type of operative intervention, and clinical outcomes.""",NA,NA,1 Plastic surgeon,"""The KCH Burn Unit is a 31-bed unit with
five full-time nurses, two trained clinical officers, and a
consultant plastic surgeon""",NA,NA,5,"""The KCH Burn Unit is a 31-bed unit with five full-time nurses""",2,"The KCH Burn Unit is a 31-bed unit with
five full-time nurses, two trained clinical officers, and a
consultant plastic surgeon""",NA,NA,573,NA,NA,NA,NA,NA
Malawi; Zambia; Tanzania,"Gajewski J., Pittalis C., Borgstein E., et al.",23-May,"Critical shortage of capacity to deliver safe paediatric surgery in sub-Saharan Africa: evidence from 67 hospitals in Malawi, Zambia, and Tanzania",Cross sectional study,10/2018 - 07/2019,primary data collection (PediPIPES survey tool),district-level hospitals,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,"""Data from each hospital
were collected at country workshops organised for this purpose.""","SPECIALISTS
0 in all 67 surveyed hospitals

GENERAL MEDICAL OFFICERS PERFORMING SURGERY
Malawi = 5 (22.7%);
Zambia = 18 (85.7%);
Tanzania = 10 (41.7%);
Total = 33 (49.3%)","- ""None of the 67 hospitals had a specialist (a medical doctor who completed specialist training) in either general surgery, paediatric surgery or anaesthesiology.""
- ""...close to half (33%–49%) reported having general medical officers who performed surgery on children, including: 86% of Zambian hospitals (M = 1, range 0–5), 23% of Malawian hospitals (M = 0, range 1–3), and 42% of Tanzanian hospitals (M = 0, range 1–10.""","ANESTHESIOLOGISTS (MD)
0 in all 67 surveyed hospitals","""None of the 67 hospitals had a specialist (a medical doctor who
completed specialist training) in anaesthesiology.""","NURSE ANESTHETISTS
Malawi = 0 (0%);
Zambia = 5 (23.8%);
Tanzania = 22 (91.7%);
Total = 27 (40.3%)

PEDIATRIC NURSE
Malawi = 6 (27.3%);
Zambia = 5 (23.8%);
Tanzania = 3 (12.5%);
Total = 14 (20.9%)","- ""...in absence of anaesthesiologists, nurse anaesthetists were reported in 92% of hospitals in Tanzania (M = 3 range 0–4), in 24% of Zambian hospitals (M = 0, range 1–2) and in no district hospitals in Malawi""
- ""Only one in five hospitals had nurses trained in paediatric care...""","PEDIATRICIAN
Malawi = 0 (0%);
Zambia = 1 (4.8%);
Tanzania = 1 (4.2%)
Total = 2 (3.0%)","""...and only two hospitals had a paediatrician.""",NA,NA,67 district-level hospitals,NA,NA,NA,NA,NA
